Abin Thomas, STM22CD001
Aiswarya Lakshmi, STM22CD002
Ajith Kumar, STM22CD003
Aleena Joseph, STM22CD004
Aman Sharma, STM22CD005
Amitha Menon, STM22CD006
Anand Krishna, STM22CD007
Anju Pillai, STM22CD008
Anoop Kumar, STM22CD009
Archana Nair, STM22CD010
Aswathy Raj, STM22CD011
Athul Krishna, STM22CD012
Bala Menon, STM22CD013
Benny George, STM22CD014
Bhagyalakshmi Iyer, STM22CD015
Bharath Kumar, STM22CD016
Binoy Raj, STM22CD017
Bobby Thomas, STM22CD018
Catherine Joseph, STM22CD019
Christy Mathew, STM22CD020
Daniel Raj, STM22CD021
Devi Menon, STM22CD022
Dhanya Nair, STM22CD023
Dilip Kumar, STM22CD024
Elizabeth Thomas, STM22CD025
Fathima Beevi, STM22CD026
Ganga Nair, STM22CD027
George Mathew, STM22CD028
Gireesh Kumar, STM22CD029
Gowri Shankar, STM22CD030
Hema Menon, STM22CD031
Jacob Thomas, STM22CD032
James Joseph, STM22CD033
Jasmine Raj, STM22CD034
Jijo George, STM22CD035
Jisha Kumari, STM22CD036
Jithin Raj, STM22CD037
John Paul, STM22CD038
Jose Thomas, STM22CD039
Joshua Mathew, STM22CD040
Jyothi Lakshmi, STM22CD041
Karun Kumar, STM22CD042
Kavitha Menon, STM22CD043
Lekha Nair, STM22CD044
Lijo Joseph, STM22CD045
Lilly Thomas, STM22CD046
Manu Raj, STM22CD047
Maria George, STM22CD048
Mariya Joseph, STM22CD049
Mathew Thomas, STM22CD050
Maya Menon, STM22CD051
Merlin Joseph, STM22CD052
Miya Thomas, STM22CD053
Navya Nair, STM22CD054
Nimisha Raj, STM22CD055
Paul George, STM22CD056
Peter Thomas, STM22CD057
Philomina Joseph, STM22CD058
Rajeev Menon, STM22CD059
Reshma Nair, STM22CD060
Rosemary Thomas, STM22CD061
Roy Joseph, STM22CD062
Sajan Raj, STM22CD063
Sara Thomas, STM22CD064
Shaiju George, STM22CD065
Shinu Menon, STM22CD066
Siby Joseph, STM22CD067
Sonu Kumar, STM22CD068
Tony Thomas, STM22CD069
