Abhijith Menon, STM22CE001
Aishwarya Nair, STM22CE002
Ajay Kumar, STM22CE003
Akshay Pillai, STM22CE004
Amrutha Sharma, STM22CE005
Anirudh Reddy, STM22CE006
Arathi Iyer, STM22CE007
Aravind Krishna, STM22CE008
Ashok Kumar, STM22CE009
Athira Menon, STM22CE010
Babu Raj, STM22CE011
Bindu Nair, STM22CE012
Chandran Pillai, STM22CE013
Deepika Sharma, STM22CE014
Devika Menon, STM22CE015
Gopal Krishna, STM22CE016
Gopika Nair, STM22CE017
Hari Kumar, STM22CE018
Indira Reddy, STM22CE019
Jagadish Pillai, STM22CE020
Jayakumar Raj, STM22CE021
Jyothi Menon, STM22CE022
Kamal Hassan, STM22CE023
Kiran Kumar, STM22CE024
Krishnan Nair, STM22CE025
Latha Sharma, STM22CE026
Manoj Kumar, STM22CE027
Manju Pillai, STM22CE028
Murali Krishna, STM22CE029
Narayanan Iyer, STM22CE030
Naveen Kumar, STM22CE031
Padma Menon, STM22CE032
Pavan Reddy, STM22CE033
Praveen Kumar, STM22CE034
Radha Krishna, STM22CE035
Raghavan Nair, STM22CE036
Rajitha Sharma, STM22CE037
Ramakrishnan Pillai, STM22CE038
Ramesha Kumar, STM22CE039
Radhika Menon, STM22CE040
Renuka Iyer, STM22CE041
Revathi Nair, STM22CE042
Sachin Kumar, STM22CE043
Sajith Raj, STM22CE044
Sanjith Pillai, STM22CE045
Shaji Kumar, STM22CE046
Sharath Menon, STM22CE047
Shobha Sharma, STM22CE048
Sreekanth Nair, STM22CE049
Sreelatha Reddy, STM22CE050
Srinivas Kumar, STM22CE051
Subash Pillai, STM22CE052
Sudha Menon, STM22CE053
Sudhir Kumar, STM22CE054
Suma Iyer, STM22CE055
Sunitha Nair, STM22CE056
Sunil Kumar, STM22CE057
Sushma Sharma, STM22CE058
Thulasi Menon, STM22CE059
Unnikrishnan Pillai, STM22CE060
Vani Reddy, STM22CE061
Venkatesh Kumar, STM22CE062
Venu Gopal, STM22CE063
Vimal Kumar, STM22CE064
Vinod Raj, STM22CE065
Vishwanath Nair, STM22CE066
Yashodhara Sharma, STM22CE067
Yashwanth Kumar, STM22CE068
Zachariah Menon, STM22CE069
