Abhay Kumar, STM22EC001
Abhilash Nair, STM22EC002
Adithya Menon, STM22EC003
Aishwarya Pillai, STM22EC004
Ajith Raj, STM22EC005
Akhil Krishna, STM22EC006
Akshay Sharma, STM22EC007
Anagha Nair, STM22EC008
Anil Kumar, STM22EC009
Anjana Menon, STM22EC010
Anusha Pillai, STM22EC011
Aparna Raj, STM22EC012
Aravind Kumar, STM22EC013
Arjun Nair, STM22EC014
Arun Menon, STM22EC015
Arya Krishna, STM22EC016
Ashish Kumar, STM22EC017
Aswin Raj, STM22EC018
Athul Nair, STM22EC019
Bhanu Pillai, STM22EC020
Chandra Kumar, STM22EC021
Deepthi Menon, STM22EC022
Devika Nair, STM22EC023
Dhruv Kumar, STM22EC024
Gautham Raj, STM22EC025
Gokul Nair, STM22EC026
Harish Kumar, STM22EC027
Harishankar Menon, STM22EC028
Jaya Pillai, STM22EC029
Jayasurya Raj, STM22EC030
Jeevan Kumar, STM22EC031
Jisha Nair, STM22EC032
Karthika Menon, STM22EC033
Kartik Kumar, STM22EC034
Kavitha Pillai, STM22EC035
Keerthi Raj, STM22EC036
Kishore Nair, STM22EC037
Kripa Menon, STM22EC038
Lakshman Kumar, STM22EC039
Lekshmi Pillai, STM22EC040
Mahesh Raj, STM22EC041
Manju Nair, STM22EC042
Manoj Menon, STM22EC043
Meenakshi Pillai, STM22EC044
Mohit Kumar, STM22EC045
Nandana Raj, STM22EC046
Naveen Nair, STM22EC047
Neha Menon, STM22EC048
Nikhil Pillai, STM22EC049
Nikita Kumar, STM22EC050
Nisha Raj, STM22EC051
Nithin Nair, STM22EC052
Parvathy Menon, STM22EC053
Poornima Pillai, STM22EC054
Pranav Kumar, STM22EC055
Prasad Raj, STM22EC056
Radhika Nair, STM22EC057
Raghu Menon, STM22EC058
Rakesh Pillai, STM22EC059
Ramya Kumar, STM22EC060
Ranjini Raj, STM22EC061
Rohit Nair, STM22EC062
Sanika Menon, STM22EC063
Santhosh Pillai, STM22EC064
Sathish Kumar, STM22EC065
Shamitha Raj, STM22EC066
Shankar Nair, STM22EC067
Sreekanth Menon, STM22EC068
Vishnu Pillai, STM22EC069
