Adarsh Kumar, STM22ME001
Ajay Krishnan, STM22ME002
Akshara Nair, STM22ME003
Albin Mathew, STM22ME004
Amal Dev, STM22ME005
Amarnath Reddy, STM22ME006
Ananthu Raj, STM22ME007
Anila Menon, STM22ME008
Anitha Sharma, STM22ME009
Anu Krishna, STM22ME010
Arya Pillai, STM22ME011
Aswin Kumar, STM22ME012
Biju Raj, STM22ME013
Bijumon Thomas, STM22ME014
Binil Kumar, STM22ME015
Binu Nair, STM22ME016
Chithra Menon, STM22ME017
Dinesh Kumar, STM22ME018
Divyesh Pillai, STM22ME019
Geethu Raj, STM22ME020
Gireeshan Nair, STM22ME021
Gokul Krishna, STM22ME022
Harikrishnan Menon, STM22ME023
Hemanth Kumar, STM22ME024
Indrajith Raj, STM22ME025
Jagan Nair, STM22ME026
Jayadeep Kumar, STM22ME027
Jayaraj Pillai, STM22ME028
Jibin Joseph, STM22ME029
Jinil Kumar, STM22ME030
Jitesh Raj, STM22ME031
Jomon Thomas, STM22ME032
Kailash Menon, STM22ME033
Karthika Nair, STM22ME034
Kavitha Pillai, STM22ME035
Kishore Kumar, STM22ME036
Lal Krishna, STM22ME037
Lekshmi Raj, STM22ME038
Libin Thomas, STM22ME039
Lijo Kumar, STM22ME040
Madhu Menon, STM22ME041
Maneesh Raj, STM22ME042
Manikandan Nair, STM22ME043
Manjusha Pillai, STM22ME044
Midhun Kumar, STM22ME045
Mithun Raj, STM22ME046
Mukundan Menon, STM22ME047
Nagaraj Kumar, STM22ME048
Nandakumar Nair, STM22ME049
Narayanan Pillai, STM22ME050
Navaneeth Raj, STM22ME051
Nitesh Kumar, STM22ME052
Nithya Menon, STM22ME053
Prabhu Raj, STM22ME054
Pramod Kumar, STM22ME055
Prasanth Nair, STM22ME056
Praveen Pillai, STM22ME057
Preethi Menon, STM22ME058
Rajath Kumar, STM22ME059
Rajesh Raj, STM22ME060
Ranjith Nair, STM22ME061
Ratheesh Kumar, STM22ME062
Renjith Pillai, STM22ME063
Sajeev Menon, STM22ME064
Salim Raj, STM22ME065
Santhosh Kumar, STM22ME066
Sharath Nair, STM22ME067
Shibu Pillai, STM22ME068
Shyam Kumar, STM22ME069
